model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev,source_run
vicsek,rho_2,2,200,0,920000,0,3000,0.05548577924330845,1.0,1500,1.0000000000000022,1.779091829144931e-15,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920001,1,3000,0.02904888181211723,1.0,1500,1.000000000000002,4.6715793836929264e-17,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920002,2,3000,0.10692448256691295,0.995,1500,1.0000000000000024,0.0,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920003,3,3000,0.09417129012066114,0.99,1500,1.0000000000000018,9.630682794076787e-16,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920004,4,3000,0.12417775344126483,1.0,1500,1.0,3.238259600574279e-16,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920005,5,3000,0.09515645827552456,0.99,1500,0.9999999999999992,2.566855781078475e-15,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920006,6,3000,0.049825467545021845,0.96,1500,1.000000000000001,1.5438940528931507e-15,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920007,7,3000,0.11721699066424326,1.0,1500,0.9999999999994975,1.5954241409702331e-12,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920008,8,3000,0.05318142936877777,1.0,1500,1.0000000000000022,5.682362384188567e-16,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920009,9,3000,0.030649727740839107,1.0,1500,0.9999999999999991,2.3915708322792215e-17,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920010,10,3000,0.11003790733661009,1.0,1500,0.9999999999999568,1.353905235674607e-13,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920011,11,3000,0.02382550278430977,1.0,1500,0.9999999999999989,0.0,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920012,12,3000,0.08670418388482609,0.975,1500,0.9999999999152561,2.687272150670285e-10,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920013,13,3000,0.018945594484427213,1.0,1500,0.9999999999999999,9.04466775024117e-16,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920014,14,3000,0.09781453550690966,1.0,1500,0.9999999999999999,6.286987233096559e-16,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920015,15,3000,0.06735578354236636,0.97,1500,0.9999999999988296,4.1725954407157135e-12,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,200,0,920016,16,3000,0.051086873733503235,1.0,1500,1.000000000000001,8.020914591989714e-16,1.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
